Qty,Qty to buy,Value,Device,Package,Parts,Description, Farnell reference
4,0,,LEDCHIPLED_0805,CHIPLED_0805,BATT ON RX/TX SYNC,LED,/
1,0,,SMDTOP-4,SMDTOP4,SERIAL,AMP connector,/
2,0,,SMDTOP-6,SMDTOP6,MOTSPI RPI,AMP connector,/
1,0,1.5k,R-US_M0805,M0805,R4,RESISTOR,/
6,0,100n,C-EUC0805,C0805,C1 C2 C3 C6 C11 C13,CAPACITOR,/
4,0,10u,C-EUC0805,C0805,C5 C9 C10 C12,CAPACITOR,/
3,0,1k,R-US_M0805,M0805,R1 R2 R5,RESISTOR,/
1,0,2.2k,R-US_M0805,M0805,R7,RESISTOR,/
1,0,4.7u,C-EUC0805,C0805,C4,CAPACITOR,/
2,0,47k,R-US_M0805,M0805,R3 R6,RESISTOR,/
1,0,8MHz,CRYSTALSM49,SM49,Q1,CRYSTAL,/
1,0,DWM1000,DWM1000,DW1000-PACKAGE,DWM1000,,/
1,0,STM32F302C8,STM32F302_303C2,LQFP48-7X7MM,U1,,/
1,0,SWD/JTAG-_PINS,SWD/JTAG-_PINS,SAMTEC_SHF-105-01-L-D-SM,U$1,,/
1,0,VREG-TS1117CW-3V3,VREG-TS1117CW-3V3,SOT223,IC1,Voltage Regulator,/
1,1,,USBMINIB,USB-MINIB,CN1,USB Connectors,2112367
2,2,18p,C-EUC0805,C0805,C7 C8,CAPACITOR,1759056
